Id,HotelName,Provider,CityName,CountryCode,CheckInDate,CheckOutDate,IsGuaranteed,Price
874129,Santika BSD City Serpong,FR,Tangerang,ID,10/29/2025,10/30/2025,TRUE,582383
874130,Hotel NEO Eltari - Kupang,KB,Kupang,ID,11/6/2025,11/8/2025,TRUE,1133556.19
874131,Hotel Ciputra Cibubur managed by Swiss-Belhotel International,JV,Bekasi,ID,11/6/2025,11/8/2025,FALSE,1943859.2
874132,Mercure Jakarta Gatot Subroto,JV,Jakarta,ID,10/31/2025,11/2/2025,TRUE,2448422.94
874133,favehotel Sudirman Bojonegoro,JV,Bojonegoro,ID,10/29/2025,10/30/2025,TRUE,428122.23
874134,The Melio Enim Hotel,DOTW,Muara Enim,ID,10/30/2025,10/31/2025,TRUE,0
874135,Hotel Santika Radial Palembang,DOTW,Palembang,ID,10/31/2025,11/1/2025,TRUE,0
874136,ibis Bandung Trans Studio,KB,Bandung,ID,10/29/2025,10/30/2025,TRUE,870000
874138,ibis Styles Batam Nagoya,KB,Batam,ID,11/4/2025,11/8/2025,TRUE,2360000
874139,Tama Boutique Hotel Bandung,KB,Bandung,ID,10/30/2025,10/31/2025,TRUE,613000
874140,favehotel Bitung - North Sulawesi,TBO,Bitung,ID,10/31/2025,11/7/2025,TRUE,3132548.8
874141,Brits Hotel Puri Indah,KB,Jakarta,ID,11/2/2025,11/4/2025,TRUE,1077217.76
874142,Sheraton Belitung Resort,KB,Belitung,ID,11/4/2025,11/7/2025,TRUE,4905000
874143,The Luxton Bandung,KB,Bandung,ID,10/30/2025,10/31/2025,TRUE,952492.32
874144,Whiz Prime Hotel Hasanuddin Makassar,KB,Makassar,ID,10/30/2025,11/1/2025,TRUE,744700
874145,Hotel Ciputra Cibubur managed by Swiss-Belhotel International,KB,Bekasi,ID,10/31/2025,11/4/2025,TRUE,3750000
874147,Lorin Syariah Hotel Sentul,KB,Bogor,ID,10/29/2025,11/1/2025,TRUE,1290885.12
874148,favehotel Palembang,JV,Palembang,ID,11/4/2025,11/6/2025,FALSE,967454.03
874149,The Jayakarta Suites Bandung,FR,Bandung,ID,10/29/2025,11/1/2025,TRUE,1563810
874150,Swiss-Belhotel Makassar,FR,Makassar,ID,10/30/2025,11/2/2025,TRUE,7942539
874151,Horison Ultima Entrop Jayapura,JV,Jayapura,ID,11/2/2025,11/4/2025,TRUE,1340049.22
874152,Stori Hotel Ambon,FR,Ambon,ID,10/30/2025,11/3/2025,TRUE,952274
874153,FOX Lite Hotel Majalaya,KB,Bandung,ID,10/30/2025,11/1/2025,TRUE,1070000
874154,Novotel Karawang,FR,Karawang,ID,11/3/2025,11/8/2025,TRUE,2566839
874155,Aryaduta Bandung,KB,Bandung,ID,10/29/2025,11/1/2025,TRUE,3586505.34
874156,Aston Inn Pantai Losari Makassar Hotel,KB,Makassar,ID,11/2/2025,11/3/2025,TRUE,1648941
874157,Hotel Santika Premiere Linggarjati - Kuningan,JV,Kuningan,ID,10/29/2025,10/30/2025,TRUE,775340.6
874158,Aston Inn Pantai Losari Makassar Hotel,FR,Makassar,ID,10/30/2025,11/2/2025,TRUE,3994288
874159,ASTON Kupang Hotel & Convention Center,KB,Kupang,ID,11/3/2025,11/6/2025,TRUE,2621331.69
874160,Aston Gresik Hotel & Conference Center,JV,Gresik,ID,11/3/2025,11/4/2025,TRUE,957644.18
874161,Arena Living Sanur,JV,Bali,ID,11/3/2025,11/7/2025,TRUE,6687288.64
